RPKI filtering threshold,1322.2
Full feeder threshold,615371
rpki_invalids,pos,asn
0,196,42
4275,771285,174
4428,775351,209
5,774803,286
4940,801515,293
3001,508277,513
2582,781015,553
0,122,559
4456,779981,680
4439,773148,701
0,805,714
0,78,766
4431,776708,852
88,779363,1103
0,4,1126
2190,455729,1140
4444,776196,1221
4428,772559,1239
0,0,1273
4911,803599,1280
2360,764980,1299
4938,800987,1351
7,775873,1403
4683,781963,1798
1,140,1836
0,274,1853
4482,795724,1916
0,398,2018
0,30,2044
3,455,2116
0,850,2119
4440,775958,2152
4522,782684,2497
0,716,2500
86,5691,2516
4837,777716,2518
3,1839,2603
4443,785151,2613
0,527,2686
1,250,2854
0,702,2856
0,0,2857
4812,786912,2895
12,19240,2905
4434,776096,2914
487,770070,3130
684,140894,3233
4434,774999,3257
4812,785303,3267
4813,785327,3277
4267,775664,3292
1,825,3301
4799,786694,3303
2,255,3327
4436,784508,3333
4434,775114,3402
4852,780607,3491
4427,774575,3549
4425,775250,3561
4673,782182,3741
0,1,3856
4425,774558,4181
4986,806244,4608
549,55892,4637
4205,799127,4739
35,231,4775
4538,787711,4777
24,1510,4780
4900,800450,4826
0,8,4844
0,1042,5056
0,9,5390
4427,778835,5392
4447,787215,5394
4432,779488,5396
1,1435,5400
0,24,5403
4431,779215,5413
0,1,5418
0,16,5430
0,79,5466
0,21,5503
512,88221,5511
0,19,5524
0,40,5583
19,1682,5588
4435,779215,5602
4415,768990,5645
4403,775512,5650
4435,775885,5769
0,15,6067
4393,775937,6079
4426,774558,6082
1018,182193,6233
0,38,6391
4442,780921,6423
4074,773902,6453
806,70835,6461
370,190145,6539
4708,780192,6667
4497,789405,6720
8,543,6730
4488,776264,6762
2,2591,6774
0,6,6798
4448,776670,6830
0,159,6866
4928,803142,6881
4421,786157,6894
4572,800617,6939
197,770779,7018
4444,787757,7195
4895,777738,7500
4917,786317,7575
18,12930,7606
423,661182,7660
4951,790316,7713
0,357,7795
0,252,8075
4455,786280,8218
4685,780398,8220
4416,779854,8222
0,4,8224
0,83,8245
52,778829,8283
0,14,8319
0,32,8339
9,7323,8359
0,55,8365
0,19,8387
4,109,8422
4462,781445,8426
0,950,8447
9,776975,8455
0,60,8470
4855,795513,8492
2,854,8529
3,1986,8551
0,303,8560
4433,779267,8607
0,7,8648
0,48,8674
1,1132,8708
4700,790270,8758
0,0,8763
0,870,8781
0,11,8816
0,17,8821
0,31,8851
4438,779892,8896
1,57,8897
19,3419,8966
4437,780854,9002
0,7,9009
0,5,9026
0,69,9031
0,122,9063
0,0,9264
8,3901,9266
0,195,9268
4841,780332,9304
0,28,9318
52,5553,9505
14,1722,9583
0,409,9658
1396,135515,9902
3,425,9930
0,0,10102
0,200,10310
0,4,10848
4475,781811,11039
61,20201,11537
4828,785675,11686
4918,809386,11708
0,2,11995
0,79,12306
4461,792233,12307
4428,777449,12350
0,14,12355
0,0,12401
0,19,12414
0,8,12577
0,30,12605
4447,776136,12637
2,2795,12713
4,773874,12779
4436,780724,12859
0,2,12895
0,2,12902
141,37893,12956
0,6,12971
0,1244,12989
533,98737,13004
2856,748746,13030
0,10,13041
0,279,13101
0,68,13189
4442,781266,13237
0,162,13285
0,60,13703
0,12,13727
1,1846,13760
4434,784760,13786
4916,802442,13830
0,2,14026
4859,785538,14061
4444,776404,14361
4432,779999,14537
4724,805659,14630
0,2,14633
4435,788483,14840
4471,787388,14907
5043,796381,15008
0,39,15133
4451,779185,15435
4687,790105,15547
11,770018,15562
0,130,15600
799,784839,15605
0,17,15695
0,28,15699
0,52,15703
4,321,15830
0,61,15943
0,0,16004
0,103,16030
0,266,16086
1,392,16265
0,2,16298
0,1,16314
4565,788664,16347
0,11,16570
0,327,16637
0,13,16700
4440,779392,16735
0,46,17451
4973,804017,17639
5566,805740,18106
3128,610307,19016
4801,780205,19151
0,435,19551
4806,780950,19653
4654,778009,19754
62,21345,19782
4443,776149,20080
4908,799684,20205
0,98,20495
0,1,20504
2400,778391,20514
1514,233594,20562
4732,791585,20612
0,11,20704
0,26,20751
4817,793466,20764
4430,780551,20811
4450,775471,20912
4436,780528,20932
0,137,20940
4369,779561,20953
0,120,21013
0,2,21099
4702,790473,21232
0,29,21263
3,1609,21320
0,2,21336
0,3,21360
0,383,21385
0,1,21478
4441,778287,22652
2,67,22691
11,310,22822
4440,797866,23106
4452,776965,23367
5551,814346,23673
1398,96577,24115
4110,656656,24441
4999,788491,24482
4726,781478,24516
0,6,24592
0,70,24753
4439,783115,24875
0,1,24880
0,89,24953
4422,779356,24961
1,18,25061
4452,783469,25091
4910,799783,25152
4426,781606,25160
0,0,25178
4477,783074,25220
4831,796748,25227
4448,787705,25933
468,794390,26073
1,118487,26162
0,2,26415
0,179,26744
0,99,27257
4897,799047,27446
4550,798006,27678
4446,792977,28186
4457,801025,28220
4448,802227,28260
0,834,28283
4490,781000,28329
4482,796101,28571
0,17,28589
4299,780599,28634
0,6,28760
0,5,28788
1983,343819,28792
4497,785721,28917
4426,780710,29140
4831,787018,29222
0,2,29449
7,777169,29467
4441,781926,29479
4460,783539,29504
0,10,29527
0,49,29550
1372,333652,29608
5494,789395,29680
4459,779226,29686
4444,780569,29691
1,153,29838
4899,803417,30132
0,1836,30844
0,6,30892
12,777069,31019
12,458,31027
1,389,31042
0,0,31122
27,11222,31133
4452,776040,31313
0,2,31383
3620,717327,31424
0,4,31449
1962,319411,31554
0,75,31727
4425,776086,31742
0,3,31800
4172,738991,32097
4,4982,32098
0,3,32212
4808,776081,32354
0,23,32653
4912,800622,32709
2,2152,32787
0,61,32869
0,55,32934
1,584,33132
535,85897,33823
0,5,33845
0,5426,33891
13756,526878,34019
4438,781028,34177
4546,779993,34224
