date,174-Cogent,286-KPN,701-Verizon,1239-Sprint,1299-Telia,2914-NTT,3257-GTT,3491-PCCW,3549-Level3,6079-RCN,6453-Tata,6762-Tel. Italia,6830-Liberty Gl.,6939-HE,7018-AT&T,37100-Seacom,37271-Workonline,28329-G8 Net,61832-Fortel,8455-Schuberg,52873-Softdados,47147-Anexia
2019-01-03 00:00:00,NA,4681,4733,4735,4707,4767,4727,4903,4729,4724,4728,4795,4750,5000,4681,4736,4732,4734,4849,60,4759,398
2019-02-01 00:00:00,NA,4816,4863,4880,4839,4892,4895,5015,4896,4860,4897,4926,4916,5173,4817,4874,4867,4872,5016,14,4916,596
2019-03-01 00:00:00,NA,4392,4440,4443,4436,4467,4441,4573,4460,4447,4445,4514,4456,4744,192,4464,4420,4439,4575,37,4455,3823
2019-04-01 00:00:00,3942,3903,3948,3948,3916,3960,3941,4071,3955,3949,3939,4025,3964,4235,92,3969,371,3941,4066,52,3943,3935
2019-05-01 00:00:00,3902,3882,3927,3928,3910,3926,3920,4056,3927,3921,3913,3996,3931,4240,149,374,461,3928,4043,17,3930,3916
2019-06-01 00:00:00,4567,3889,4641,4626,4584,4644,4626,4827,4656,4618,4624,4681,4631,4890,189,375,1214,4637,4626,7,4641,0
2019-07-01 00:00:00,4241,11,4269,4255,4223,4267,4270,4464,4283,4257,4259,4325,4283,4489,196,536,1017,4277,4259,85,4283,11
2019-08-03 00:00:00,4421,0,4443,4418,4389,4447,4447,4652,4471,4434,4452,4507,4457,4697,173,457,1594,4457,4443,78,4458,0
2019-09-01 00:00:00,4356,8,4503,4501,4434,4497,4502,4957,4504,4542,4502,4570,4524,4992,132,429,2375,4501,4491,11,4501,7
2019-10-01 00:00:00,4518,96,4666,4665,4575,4662,4668,5071,4660,4659,4644,4729,4686,5123,231,685,962,4663,4797,100,4668,97
2019-10-30 00:00:00,4438,15,4462,4441,2937,4450,4450,4856,4455,4448,4388,4501,4471,4747,158,4600,4405,4457,4596,22,4458,20
2019-12-01 00:00:00,4343,1,4499,4480,2632,4494,4494,4903,4522,4469,4417,4557,4509,4731,189,1041,1252,4526,4508,7,4533,3
2020-01-01 00:00:00,4275,5,4439,4428,2360,4434,4434,4852,4427,4393,4074,4488,4448,4572,197,1293,1068,4490,4441,9,4438,11
2020-02-04 00:00:00,2193,25,4693,4674,46,4638,4482,5068,4681,1923,3988,4666,4549,4861,195,1103,2074,4561,4611,29,4566,27
2020-03-03 00:00:00,2523,18,4622,4595,19,4602,4528,3157,4619,19,1701,4763,4611,4866,200,434,4531,5042,4606,33,4636,21
2020-04-01 00:00:00,2545,20,4581,4535,20,860,4539,1334,4663,558,1613,4669,4600,4850,218,631,1021,20,663,28,4631,22
2020-04-30 00:00:00,3298,19,3765,3722,18,714,1293,2693,3796,18,1216,3835,3794,3855,150,687,456,11,499,26,228,11
2020-06-06 00:00:00,57,19,2987,409,160,506,51,2519,3328,19,789,3137,3101,529,157,NA,1276,19,291,73,117,21
2020-07-02 00:00:00,115,90,2754,494,90,401,118,625,2778,85,730,2791,2742,184,209,NA,980,90,238,147,111,91
2020-08-05 00:00:00,38,12,2444,2258,11,330,34,1954,2497,11,599,2508,2481,179,132,NA,1073,12,172,57,16,13
