RPKI filtering threshold,946.8000000000001
Full feeder threshold,730632
rpki_invalids,pos,asn
0,126,42
54,919749,174
93,924776,209
1216,951844,293
2227,933839,513
34,927455,553
858,456863,559
37,927064,680
0,0,701
0,1173,714
0,145,766
2188,929947,835
103,926613,852
2205,942404,917
36,950051,955
0,8,983
2,21455,1003
298,921276,1031
38,934403,1103
0,5,1126
12,557692,1140
36,927970,1221
37,927385,1239
0,156,1241
1046,927597,1257
0,0,1273
1185,950657,1280
36,926016,1299
100,950490,1351
36,926688,1403
0,22,1798
1384,950165,1828
0,195,1836
0,312,1853
0,453,2018
3453,954155,2027
0,33,2044
0,518,2116
894,927548,2152
45,932474,2497
1709,935021,2500
6,4928,2516
2162,932616,2518
0,2020,2603
39,932276,2613
0,587,2686
1,200,2854
3,819,2856
0,0,2857
37,926887,2914
41,926156,3130
867,927693,3170
447,952138,3212
37,933986,3214
2258,930038,3216
27,106171,3233
45,934314,3257
248,933719,3267
0,772,3292
0,863,3301
43,946555,3303
1947,926426,3320
0,271,3327
38,936586,3333
36,926677,3399
38,929735,3491
95,924706,3549
93,924149,3561
1409,930062,3741
0,1,3856
75,15580,4134
38,925530,4181
0,8,4455
3335,939795,4608
5,83408,4637
45,1649,4775
2190,939545,4777
28,6445,4788
0,12,4805
40,950337,4826
0,8,4844
0,80,4862
0,5,5390
113,950986,5392
0,1638,5400
0,24,5403
31,267807,5405
0,117,5408
1308,927234,5413
0,432,5416
0,53,5430
0,0,5459
0,54,5466
0,15,5503
4,156216,5511
0,18,5524
1,427,5578
2,38,5583
1,504,5603
0,88,5610
41,923401,5645
2917,950723,6057
104,926327,6079
71,927174,6082
334,935482,6233
0,97,6325
67,950972,6360
0,37,6391
4382,954294,6423
461,925455,6453
2182,928214,6461
45,926711,6667
0,65,6677
2087,952845,6720
2096,928289,6762
3,4777,6774
0,4,6798
116,925766,6830
3,197,6866
39,951710,6881
2023,933886,6894
1193,929320,6908
35,950572,6939
41,925173,7018
0,14356,7195
2647,952516,7500
3274,937864,7575
177,929792,7594
30,114936,7606
611,739156,7660
2482,945190,7713
0,0,7721
0,367,7795
0,559,8075
94,927215,8218
38,932043,8220
0,3,8224
4,44,8245
243,933585,8283
9,230002,8289
156,953523,8298
0,12,8319
5,5925,8359
0,69,8365
0,17,8387
53,1335,8400
0,108,8422
36,927907,8426
0,1419,8447
39,930744,8455
0,78,8470
9,3460,8529
2,3053,8551
0,338,8560
208,739437,8607
0,37,8648
1412,929743,8660
0,46,8674
0,867,8708
0,231344,8714
54,953172,8758
0,0,8763
0,1139,8781
0,0,8803
0,19,8816
0,126,8851
149,945024,8888
431,927168,8896
15,5550,8966
35,933663,9002
0,24,9009
0,2,9026
0,42,9031
0,124,9063
30,4270,9121
0,0,9264
5,187537,9266
62,936031,9268
809,931547,9304
2,1371,9505
19,2249,9583
3,523,9658
639,288877,9902
9,856,9930
7,1268,10075
0,339,10310
2237,930844,11039
0,5356,11164
1253,959059,11399
0,26,11403
4,23328,11537
2303,942834,11686
0,6,11708
0,78,12306
51,932678,12307
162,927771,12350
0,6,12355
0,0,12401
0,22,12414
0,2,12470
0,17,12577
0,9,12605
134,925132,12637
12,1117,12713
35,926088,12779
36,927572,12859
0,2,12895
0,86,12897
0,3,12902
57,925345,12956
2119,928766,12969
274,205122,13004
92,930326,13030
0,9,13041
37,949899,13058
0,144,13101
0,5,13150
0,50,13189
1314,929847,13237
0,188,13285
6,4357,13335
0,14,13727
288,928386,13760
2837,929768,13781
34,935887,13786
37,926884,13830
0,2,14026
35,924947,14041
1329,932485,14061
475,925870,14315
1393,929790,14537
2145,938859,14630
2169,943469,14840
38,938232,14907
0,49,15133
5,206897,15280
0,6,15301
1350,930252,15435
1109,953767,15547
4,925238,15562
0,168,15600
36,930894,15605
631,951201,15623
14,557436,15692
0,7,15695
0,27,15699
0,35,15703
1,362,15802
1,749,15830
0,43,15962
0,127,15994
0,0,16004
708,366786,16010
0,71,16030
0,237,16086
4,695,16265
0,2,16298
0,1,16314
214,928266,16347
4,7650,16509
2135,960542,16552
0,187,16637
0,18,16700
2143,929706,16735
2382,929865,17350
127,3726,17557
3854,957049,17639
0,84,17766
122,954878,18106
0,5985,18403
0,32,19016
1641,932664,19151
56,950316,19529
287,950025,19653
158,896754,19754
31,28592,19782
2025,928288,20080
80,951296,20130
60,951471,20205
0,629,20473
0,58,20495
61,926804,20514
0,3606,20562
1236,956391,20612
0,15,20704
0,26,20751
35,930971,20764
85,928466,20811
2031,928319,20912
681,927818,20932
0,246,20940
0,172,21013
0,2,21099
110,935812,21232
0,64,21263
7,359,21277
0,2342,21282
0,1814,21320
0,2,21336
0,1,21360
0,208,21385
1441,954069,21412
0,55,21473
330,926463,21700
1,70,21859
6,19069,22388
2092,953915,22548
171,928072,22652
1919,949175,23106
245,927230,23367
4090,963400,23673
8,8570,23764
569,216129,24115
