asn,2019-01-03 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-03 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-10-30 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-04 00:00:00,2020-03-03 00:00:00,2020-04-01 00:00:00,2020-04-30 00:00:00,2020-06-06 00:00:00,2020-07-02 00:00:00,2020-08-05 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-10-29 00:00:00,2020-11-30 00:00:00,2020-12-30 00:00:00,2021-01-30 00:00:00,2021-02-28 00:00:00,2021-03-30 00:00:00,2021-04-30 00:00:00,2021-05-30 00:00:00,2021-06-30 00:00:00,2021-07-30 00:00:00,2021-08-01 00:00:00,2021-09-01 00:00:00,2021-10-01 00:00:00,2021-12-01 00:00:00,2022-01-01 00:00:00,2022-02-01 00:00:00,2022-03-01 00:00:00,2022-04-01 00:00:00,2022-05-01 00:00:00,2022-06-01 00:00:00,2022-07-01 00:00:00,2022-08-01 00:00:00,2022-09-01 00:00:00,2022-10-01 00:00:00,2022-11-01 00:00:00,2022-12-01 00:00:00,2023-01-01 00:00:00,2023-02-01 00:00:00,2023-03-01 00:00:00,2023-04-01 00:00:00,2023-05-01 00:00:00,2023-06-01 00:00:00,2023-07-01 00:00:00,2023-08-01 00:00:00,2023-09-01 00:00:00,2023-10-01 00:00:00,2023-11-01 00:00:00,2023-12-01 00:00:00,2024-01-01 00:00:00,2024-02-01 00:00:00,2024-03-01 00:00:00
AS174-Cogent,NA,NA,NA,3942,3902,4567,4241,4421,4356,4518,4438,4343,4275,2193,2523,2545,3298,57,115,38,63,2185,76,126,43,59,1141,163,95,1713,113,93,16,38,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138,358,44,68,47,37,31,54,71
AS286-KPN,4681,4816,4392,3903,3882,3889,11,0,8,96,15,1,5,25,18,20,19,19,90,12,35,36,23,39,21,34,7,26,24,9,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AS701-Verizon,4733,4863,4440,3948,3927,4641,4269,4443,4503,4666,4462,4499,4439,4693,4622,4581,3765,2987,2754,2444,2339,2524,2352,2377,2304,2125,1767,2008,2145,2196,2460,2368,2278,2541,1623,2064,2065,2326,2186,2691,2521,2450,2237,2518,2543,2510,2525,2506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AS1239-Sprint,4735,4880,4443,3948,3928,4626,4255,4418,4501,4665,4441,4480,4428,4674,4595,4535,3722,409,494,2258,2002,375,377,393,358,244,164,NA,92,56,67,113,38,71,58,38,25,292,25,61,66,44,34,18,22,11,24,336,8,35,17,18,41,56,15,392,30,17,34,32,9,37,49
AS1299-Telia,4707,4839,4436,3916,3910,4584,4223,4389,4434,4575,2937,2632,2360,46,19,20,18,160,90,11,35,38,24,41,30,34,7,19,101,16,27,97,23,41,50,21,74,192,39,73,39,141,54,46,52,51,65,257,20,70,36,35,47,61,34,351,31,16,36,26,180,36,43
AS2914-NTT,4767,4892,4467,3960,3926,4644,4267,4447,4497,4662,4450,4494,4434,4638,4602,860,714,506,401,330,355,387,364,360,333,409,99,221,46,34,51,105,30,64,208,29,14,270,149,38,15,62,31,23,22,14,24,215,6,35,15,21,30,63,16,352,33,17,35,28,10,37,44
AS3257-GTT,4727,4895,4441,3941,3920,4626,4270,4447,4502,4668,4450,4494,4434,4482,4528,4539,1293,51,118,34,39,40,1286,44,27,42,14,30,28,15,33,89,14,40,40,38,14,231,63,52,34,67,42,29,31,24,40,356,24,55,39,36,28,60,19,389,37,21,39,228,14,45,53
AS3491-PCCW,4903,5015,4573,4071,4056,4827,4464,4652,4957,5071,4856,4903,4852,5068,3157,1334,2693,2519,625,1954,1334,2314,1445,1319,187,246,112,178,371,442,641,245,182,178,107,162,139,328,54,62,42,56,29,18,19,13,28,335,5,35,18,1259,42,57,17,393,35,20,47,31,11,38,44
AS3549-Level3,4729,4896,4460,3955,3927,4656,4283,4471,4504,4660,4455,4522,4427,4681,4619,4663,3796,3328,2778,2497,2363,2567,2371,2389,2310,2155,1798,148,112,84,86,134,56,99,102,126,93,303,165,182,70,92,76,65,69,70,83,344,50,65,52,49,95,100,57,421,146,60,85,73,70,95,80
AS6079-RCN,4724,4860,4447,3949,3921,4618,4257,4434,4542,4659,4448,4469,4393,1923,19,558,18,19,85,11,34,2489,2304,2311,2240,2077,1751,145,40,28,38,90,18,42,40,32,9,317,182,47,27,71,46,37,41,42,65,266,41,56,39,38,35,67,25,392,114,25,59,252,215,104,88
